Nieuwe Parklaan 92,0,D,0,0,"Villa, 2-onder-1-kapwoning",none,€ 1.750.000 k.k.
Binnentuinen 1,0,G,0,0,"Eengezinswoning, Hoekwoning",none,€ 281.000 - 311.000
Van Beverningkstraat 166,0,0,0,0,Woonhuis,none,€ 1.290.000 k.k.
Anna van Buerenplein 54,0,A,0,0,Portiekflat,none,€ 699.000 k.k.
Harlekijneendstraat 6,0,A,0,0,"Herenhuis, Tussenwoning",,€ 725.000 k.k.
Wassenaarsestraat 178,0,C,0,0,"Eengezinswoning, Tussenwoning",none,€ 600.000 k.k.
Laan van Meerdervoort 800,0,D,0,0,Herenhuis,none,€ 750.000 k.k.
Havannasingel 53,0,A,0,0,"Eengezinswoning, Tussenwoning",none,€ 575.000 k.k.
Hattemlaan 4,0,D,0,0,Portiekflat,none,€ 239.000 k.k.
Blaricumseplein 37,0,F,0,0,Portiekflat,none,€ 269.000 k.k.
Burgemeester Patijnlaan 428,0,C,0,0,Maisonnette,none,€ 375.000 k.k.
Gotland 27,0,A,0,0,"Eengezinswoning, Tussenwoning",,€ 510.000 k.k.
Rhododendronstraat 43,0,E,0,0,Benedenwoning,none,€ 275.000 k.k.
Gymnastiekplein 11,0,A,0,0,"Eengezinswoning, Tussenwoning",none,€ 495.000 k.k.
Wolweversgaarde 683,0,C,0,0,Portiekflat,none,€ 235.000 k.k.
Hooftskade 105,0,B,0,0,Benedenwoning,none,€ 490.000 k.k.
Dirk Hoogenraadstraat 121,0,D,0,0,"Benedenwoning, Bel-etage",none,€ 575.000 k.k.
Nobelstraat 8,0,A,0,0,Bovenwoning,none,€ 689.000 k.k.
Fischerstraat 201,0,A,0,0,"Eengezinswoning, Tussenwoning",none,€ 450.000 k.k.
Zeekant 103-A,0,C,0,0,Maisonnette,,€ 415.000 k.k.
Van Essendijk 154,0,A,0,0,"Eengezinswoning, Tussenwoning",none,€ 475.000 k.k.
Bosschestraat 54,0,B,0,0,"Bovenwoning, Dubbel bovenhuis",none,€ 365.000 k.k.
Monstersestraat 160,0,D,0,0,Benedenwoning,none,€ 279.000 k.k.
Violenweg 12,0,C,0,0,"Villa, 2-onder-1-kapwoning",none,€ 2.950.000 k.k.
Toussaintkade 6,0,C,0,0,Bovenwoning,none,€ 349.500 k.k.
Lyonnetstraat 63,0,D,0,0,Benedenwoning,none,€ 285.000 k.k.
Terschellingsestraat 27,0,F,0,0,"Eengezinswoning, Tussenwoning",,€ 452.000 - 537.000
Isabellaland 1552,0,G,0,0,Galerijflat,,€ 225.000 k.k.
Celebesstraat 90,0,F,0,0,"Herenhuis, Hoekwoning",none,€ 1.495.000 k.k.
Burgemeester De Monchyplein 89,0,B,0,0,Bovenwoning,,€ 750.000 k.k.
Thomsonlaan 105-E,0,A+++,0,0,Bovenwoning,none,€ 425.000 k.k.
Koppelstokstraat 15,0,A,0,0,"Eengezinswoning, Geschakelde woning",none,€ 949.500 k.k.
Weteringkade 79,0,B,0,0,"Bovenwoning, Dubbel bovenhuis",none,€ 415.000 k.k.
Schalk Burgerstraat 66,0,?,0,0,Portiekwoning,none,€ 239.000 k.k.
Liemerssingel 8,0,A,0,0,Herenhuis,none,€ 749.000 k.k.
Ripperdastraat 5,0,C,0,0,Benedenwoning,none,€ 470.000 k.k.
Ripperdastraat 7,0,?,0,0,Maisonnette,none,€ 565.000 k.k.
Kepplerstraat 166,0,0,0,0,"Bovenwoning, Dubbel bovenhuis",none,€ 575.000 k.k.
Nieuwe Parklaan 159,0,E,0,0,Bovenwoning,none,€ 975.000 k.k.
Polsbroekstraat 46,0,D,0,0,Portiekflat,none,€ 237.500 k.k.
Narcislaan 321,0,E,0,0,Benedenwoning,none,€ 315.000 k.k.
San Franciscosingel 52,0,A,0,0,"Eengezinswoning, Eindwoning",none,€ 575.000 k.k.
Beeldsnijdersgaarde 79,0,A,0,0,"Eengezinswoning, Hoekwoning",,€ 450.000 k.k.
Noorderbeekdwarsstraat 23,0,0,0,0,"Herenhuis, Hoekwoning",none,€ 650.000 k.k.
Zeekant 46-A,0,F,0,0,"Benedenwoning, Souterrain",none,€ 250.000 k.k.
Abeelstraat 20,0,F,0,0,Portiekflat,none,€ 437.000 - 483.000
